anno_acc,anno_sol,id_ateneo,ateneo_breve,imm_maschi,imm_femmine,imm_fs,imm_nfs,imm_totali_s,imm_totali,isc_maschi,isc_femmine,isc_1anno,isc_fs,isc_nfs,isc_totali,lau_maschi,lau_femmine,lau_totali
2018/2019,2019,00101,Torino,4953,7999,1901,10680,808,12952,28294,44604,20992,14592,57077,72898,5370,8537,13907
2018/2019,2019,00102,Torino Politecnico,3567,1466,2202,2621,570,5033,23148,9112,10847,17047,14776,32260,5238,2255,7493
2018/2019,2019,00201,Piemonte Orientale,1240,2040,862,2156,229,3280,4913,7734,4092,3284,8827,12647,824,1539,2363
2018/2019,2019,00401,Scienze Gastronomiche,43,34,28,13,30,77,192,168,130,79,119,360,59,44,103
2018/2019,2019,00701,Aosta,67,153,55,125,24,220,316,709,314,273,615,1025,59,207,266
2018/2019,2019,01001,Genova,2599,3024,534,4788,535,5623,13521,16750,8939,3927,24974,30271,2474,3320,5794
2018/2019,2019,01201,LIUC,258,143,22,275,9,401,1491,794,887,183,1502,2285,436,226,662
2018/2019,2019,01202,Insubria,1267,1681,107,2708,170,2948,4875,5828,3519,505,9826,10703,746,1123,1869
2018/2019,2019,01301,Novedrate,1266,1171,1778,425,124,2437,7629,7994,6669,12783,2509,15623,1261,1484,2745
2018/2019,2019,01501,Milano,4324,6312,1543,8706,683,10636,24681,34731,17190,11329,47610,59412,4684,7192,11876
2018/2019,2019,01502,Milano Politecnico,5260,2550,2499,4992,367,7810,29789,14857,14663,18727,25895,44646,7838,4450,12288
2018/2019,2019,01503,Milano Bocconi,1664,1073,1640,869,517,2737,7763,5763,4706,9413,4034,13526,2551,2168,4719
2018/2019,2019,01504,Milano Cattolica,2662,5123,2382,4834,530,7785,13714,26148,12858,16679,23072,39862,3542,6790,10332
2018/2019,2019,01505,IULM,440,1181,303,1004,77,1621,1797,4454,2323,1916,3644,6251,398,1090,1488
2018/2019,2019,01508,Milano San Raffaele,197,291,89,197,40,488,1088,1722,888,685,1397,2810,226,419,645
2018/2019,2019,01509,Milano Bicocca,2161,3244,329,4714,275,5405,12880,20256,9609,3791,28003,33136,2632,4460,7092
2018/2019,2019,01510,Humanitas University,58,161,82,69,88,219,337,608,272,194,490,945,36,51,87
2018/2019,2019,01601,Bergamo,1628,2664,32,4134,280,4292,7411,12039,6409,258,18060,19450,1389,2481,3870
2018/2019,2019,01701,Brescia,1574,1247,103,2595,202,2821,7588,6374,3836,595,12999,13962,1390,1192,2582
2018/2019,2019,01801,Pavia,2184,2697,1282,3371,435,4881,10304,12794,7294,7424,14833,23098,1993,2587,4580
2018/2019,2019,02101,Bolzano,178,460,246,303,57,638,1199,2560,945,1348,1995,3759,235,470,705
2018/2019,2019,02201,Trento,1489,1453,1678,998,79,2942,8154,8370,4788,9857,5840,16524,1782,1919,3701
2018/2019,2019,02301,Verona,1362,2679,1169,2647,179,4041,8121,14632,6622,6594,15109,22753,1731,3394,5125
2018/2019,2019,02701,Ca Foscari,1438,2767,637,3260,258,4205,7428,13359,6942,5157,14990,20787,1649,3381,5030
2018/2019,2019,02702,IUAV,266,371,72,473,56,637,1813,2145,1301,496,2677,3958,534,659,1193
2018/2019,2019,02801,Padova,5166,5558,1504,8804,428,10724,27656,30984,17154,12388,46026,58640,5953,7391,13344
2018/2019,2019,03001,Udine,1450,1580,673,2200,158,3030,7115,7739,4591,3261,10820,14854,1412,1732,3144
2018/2019,2019,03201,Trieste,1086,1654,742,1666,154,2740,6677,8639,4304,4832,9087,15316,1250,1753,3003
2018/2019,2019,03401,Parma,2137,2981,2079,2806,334,5118,11029,14729,7961,12238,13183,25758,2212,2947,5159
2018/2019,2019,03601,Modena e Reggio Emilia,2464,2746,810,3865,290,5210,11680,13264,8235,6605,17451,24944,2246,2858,5104
2018/2019,2019,03701,Bologna,6019,7680,5021,8061,1282,13699,35371,44708,23108,37562,42517,80079,8148,10877,19025
2018/2019,2019,03801,Ferrara,2419,4043,4269,1985,251,6462,8505,11811,7387,12581,7673,20316,1386,1772,3158
2018/2019,2019,04101,Carlo Bo,1084,1679,1159,1401,147,2763,5405,8820,4034,6968,6860,14225,997,1797,2794
2018/2019,2019,04201,Marche,1600,1212,625,2064,114,2812,8288,6718,4195,3586,10957,15006,1544,1415,2959
2018/2019,2019,04301,Macerata,434,1312,223,1402,88,1746,2760,7438,3237,1916,7574,10198,515,1506,2021
2018/2019,2019,04302,Camerino,657,639,251,833,103,1296,3414,3390,1826,2445,3761,6804,431,490,921
2018/2019,2019,04801,Firenze,3588,4640,1129,6856,646,8228,21790,29861,14480,11790,39843,51651,3448,5536,8984
2018/2019,2019,04804,IUL,9,33,NA,NA,1,42,73,201,137,NA,NA,274,9,37,46
2018/2019,2019,05001,Pisa,3504,3639,1733,5122,333,7143,21642,22724,12156,13750,29877,44366,3752,3992,7744
2018/2019,2019,05201,Siena,951,1511,706,1447,188,2462,6430,9290,4074,6420,7728,15720,1205,1818,3023
2018/2019,2019,05202,Siena Stranieri,82,457,101,271,55,539,385,1768,705,623,1139,2153,66,350,416
2018/2019,2019,05401,Perugia,1963,2467,976,3161,306,4430,10101,13392,7110,7402,15341,23493,1836,2697,4533
2018/2019,2019,05403,Perugia Stranieri,76,117,41,123,78,193,380,671,443,195,591,1051,73,189,262
2018/2019,2019,05601,Tuscia,678,733,160,1108,52,1411,3900,3859,2335,1342,5856,7759,899,704,1603
2018/2019,2019,05801,La Sapienza,7024,9736,2139,14256,1091,16760,43573,58426,28802,18207,82587,101999,7680,11191,18871
2018/2019,2019,05802,Tor Vergata,2310,2369,507,3999,409,4679,13251,14467,8548,4699,21858,27718,3058,3115,6173
2018/2019,2019,05803,Roma LUMSA,292,642,244,545,36,934,1756,3984,1739,1708,3121,5740,381,973,1354
2018/2019,2019,05805,Roma LUISS,914,785,612,863,51,1699,5070,4217,2945,4252,4459,9287,1512,1235,2747
2018/2019,2019,05806,Roma Foro Italico,260,91,NA,288,3,351,1576,555,691,NA,1701,2131,365,171,536
2018/2019,2019,05807,Roma Tre,2419,3080,353,4863,297,5499,12700,18490,8785,2754,26962,31190,2278,3537,5815
2018/2019,2019,05808,Campus Biomedico,132,205,13,195,4,337,710,1132,552,190,1051,1842,175,270,445
2018/2019,2019,05809,Roma UNINT,33,125,NA,95,8,158,333,1206,800,NA,941,1539,98,369,467
2018/2019,2019,05810,Roma Marconi,389,454,347,163,41,843,4758,4871,3629,5737,2263,9629,806,815,1621
2018/2019,2019,05811,Unitelma,107,93,12,67,15,200,915,834,740,211,725,1749,165,154,319
2018/2019,2019,05812,Roma Europea,69,159,18,180,9,228,388,850,371,106,976,1238,72,149,221
2018/2019,2019,05813,Uninettuno,671,498,726,146,161,1169,7917,5268,2695,9566,3087,13185,241,190,431
2018/2019,2019,05814,Mercatorum,1,NA,NA,NA,NA,NA,2554,890,1641,NA,NA,3444,545,130,675
2018/2019,2019,05815,Unicusano,1072,384,866,278,22,1456,14278,9941,6367,17452,5218,24219,557,446,1003
2018/2019,2019,05816,Roma San Raffaele,401,222,161,149,12,623,3095,2373,3189,2133,1286,5468,412,426,838
2018/2019,2019,05817,Link Campus,214,73,57,79,19,287,1375,471,419,511,596,1846,329,118,447
2018/2019,2019,06001,Cassino,642,648,372,858,97,1290,3338,3911,2175,2099,4991,7249,701,825,1526
2018/2019,2019,06201,Sannio,419,412,17,790,10,831,2246,2389,1137,83,4413,4635,434,443,877
2018/2019,2019,06202,Benevento - Giustino Fortunato,55,42,NA,30,2,97,547,389,539,NA,528,936,213,120,333
2018/2019,2019,06301,Napoli Federico II,6225,7377,410,13007,119,13602,33574,41090,20424,2952,71057,74664,5832,7385,13217
2018/2019,2019,06302,Napoli Parthenope,1079,719,NA,1727,17,1798,6460,4884,2881,NA,10913,11344,1250,1035,2285
2018/2019,2019,06303,Napoli L'Orientale,447,1840,168,1986,94,2287,2362,9221,3358,1242,9940,11583,328,1540,1868
2018/2019,2019,06304,Benincasa,194,1073,NA,1219,4,1267,1206,7017,2385,NA,7844,8223,243,1531,1774
2018/2019,2019,06306,Napoli II,1466,1909,77,3205,100,3375,9941,13996,5786,406,22709,23937,1902,2989,4891
2018/2019,2019,06307,Napoli Pegaso,3512,2327,4085,1560,170,5839,23244,16552,18782,26605,12902,39796,5331,3852,9183
2018/2019,2019,06501,Salerno,2815,3149,201,5701,78,5964,15426,19922,8786,1574,33306,35348,2573,3476,6049
2018/2019,2019,06601,Aquila,925,942,493,1237,51,1867,7020,8890,3865,5377,9200,15910,1373,1823,3196
2018/2019,2019,06701,Teramo,448,480,110,673,27,928,2393,3126,1316,924,3973,5519,435,565,1000
2018/2019,2019,06901,Chieti e Pescara,1370,2368,1421,2101,96,3738,8574,15094,6221,9806,13126,23668,1659,3480,5139
2018/2019,2019,06902,Torrevecchia Teatina,1,1,NA,NA,NA,2,30,41,NA,NA,NA,71,6,8,14
2018/2019,2019,07001,Molise,500,573,356,625,31,1073,2823,3991,1737,2929,3691,6814,468,747,1215
2018/2019,2019,07101,Foggia,782,1166,110,1742,35,1948,3929,6427,2853,726,9412,10356,661,1200,1861
2018/2019,2019,07201,Bari,2976,4331,359,6807,127,7307,15978,26716,10669,2596,39349,42694,2710,4766,7476
2018/2019,2019,07202,Bari Politecnico,1337,541,86,1774,20,1878,6805,3009,2552,412,9273,9814,1313,677,1990
2018/2019,2019,07203,Jean Monnet,146,83,NA,206,NA,229,900,597,340,NA,1422,1497,215,150,365
2018/2019,2019,07501,Salento,1405,1972,28,3284,32,3377,6435,10581,5015,208,16587,17016,1104,2005,3109
2018/2019,2019,07601,Basilicata,445,481,167,703,8,926,2704,3706,1451,1536,4815,6410,366,536,902
2018/2019,2019,07801,Calabria,1787,2267,256,3761,144,4054,10674,14591,5707,1289,23777,25265,1821,2648,4469
2018/2019,2019,07901,Catanzaro,695,1045,37,1647,37,1740,4165,6613,2408,205,9879,10778,574,976,1550
2018/2019,2019,08001,Reggio Calabria,389,314,32,652,23,703,2444,2491,1168,363,4510,4935,375,359,734
2018/2019,2019,08003,Reggio Calabria - Dante Alighieri,24,78,15,75,25,102,140,640,226,97,624,780,25,142,167
2018/2019,2019,08201,Palermo,3130,4041,34,7097,88,7171,16586,22883,10854,216,38983,39469,3020,4433,7453
2018/2019,2019,08301,Messina,1397,2277,727,2908,96,3674,8352,14099,5667,5093,17075,22451,1458,2420,3878
2018/2019,2019,08601,Enna,255,438,NA,686,3,693,1662,3158,1079,NA,4766,4820,346,785,1131
2018/2019,2019,08701,Catania,2802,3267,10,5983,44,6069,16855,22611,9096,85,39076,39466,2439,3823,6262
2018/2019,2019,09001,Sassari,872,1296,15,2082,57,2168,4892,8349,3749,95,12630,13241,762,1448,2210
2018/2019,2019,09201,Cagliari,1782,2130,13,3854,63,3912,10270,14572,6306,130,24418,24842,1537,2465,4002
2017/2018,2018,00101,Torino,5280,8082,1965,11022,1074,13362,28062,43523,21414,14098,56761,71585,4924,8066,12990
2017/2018,2018,00102,Torino Politecnico,3671,1415,2316,2561,602,5086,22875,8951,10114,16792,14691,31826,5025,2218,7243
2017/2018,2018,00201,Piemonte Orientale,1176,1919,869,1990,205,3095,4745,7386,3709,3161,8577,12131,759,1265,2024
2017/2018,2018,00401,Scienze Gastronomiche,37,41,28,11,37,78,179,161,133,72,119,340,54,64,118
2017/2018,2018,00701,Aosta,74,159,36,126,15,233,301,750,297,259,631,1051,57,168,225
2017/2018,2018,01001,Genova,2451,2991,485,4664,522,5442,14515,17482,8807,4554,26527,31997,2605,3429,6034
2017/2018,2018,01201,LIUC,221,129,22,253,8,350,1365,745,738,167,1372,2110,453,287,740
2017/2018,2018,01202,Insubria,1314,1463,97,2589,145,2777,4645,5400,3248,453,9262,10045,726,1037,1763
2017/2018,2018,01301,Novedrate,837,780,974,317,95,1617,5679,5703,4204,8892,2012,11382,1000,1180,2180
2017/2018,2018,01501,Milano,4533,6601,1590,9189,626,11134,25373,35222,17665,10902,49259,60595,4506,7137,11643
2017/2018,2018,01502,Milano Politecnico,5183,2399,2345,4854,409,7582,29162,14511,14350,17895,25714,43673,7338,4419,11757
2017/2018,2018,01503,Milano Bocconi,1608,1099,1641,833,400,2707,7520,5906,4647,9336,4021,13426,2426,2121,4547
2017/2018,2018,01504,Milano Cattolica,2615,5276,2465,4852,535,7891,13449,25032,12561,15689,22437,38481,3479,6473,9952
2017/2018,2018,01505,IULM,422,1073,219,967,58,1495,1670,4062,2147,1789,3363,5732,374,1049,1423
2017/2018,2018,01508,Milano San Raffaele,121,245,28,157,29,366,1024,1578,759,120,1277,2602,228,357,585
2017/2018,2018,01509,Milano Bicocca,2257,3446,322,4924,337,5703,12941,20226,9562,3268,28156,33167,2588,4485,7073
2017/2018,2018,01510,Humanitas University,81,127,68,73,78,208,286,435,245,148,379,721,3,19,22
2017/2018,2018,01601,Bergamo,1511,2454,21,3832,261,3965,6953,11142,5748,199,16913,18095,1155,2374,3529
2017/2018,2018,01701,Brescia,1489,1257,111,2524,210,2746,7559,6403,3703,572,13009,13962,1308,1196,2504
2017/2018,2018,01801,Pavia,2094,2746,1350,3265,380,4840,9828,12170,6741,7325,14193,21998,1896,2572,4468
2017/2018,2018,02101,Bolzano,211,580,276,401,90,791,1179,2502,1074,1289,1995,3681,216,487,703
2017/2018,2018,02201,Trento,1447,1499,1645,1036,64,2946,8066,8186,4683,9330,5912,16252,1804,1899,3703
2017/2018,2018,02301,Verona,1570,3064,1371,3032,236,4634,8346,15119,7242,7080,15669,23465,1603,3281,4884
2017/2018,2018,02701,Ca Foscari,1471,2627,609,3142,240,4098,7223,13103,6777,5021,14651,20326,1659,3591,5250
2017/2018,2018,02702,IUAV,270,378,86,469,47,648,1887,2107,1277,640,2734,3994,602,650,1252
2017/2018,2018,02801,Padova,5304,5719,1478,9152,454,11023,27229,30673,16981,11379,45973,57902,5744,6923,12667
2017/2018,2018,03001,Udine,1374,1465,525,2178,160,2839,7189,7715,4216,3363,10937,14904,1372,1568,2940
2017/2018,2018,03201,Trieste,1183,1630,840,1655,237,2813,6693,8438,4239,4784,9117,15131,1245,1718,2963
2017/2018,2018,03401,Parma,2108,2898,2094,2647,408,5006,10803,13992,7553,11721,12758,24795,1892,2657,4549
2017/2018,2018,03601,Modena e Reggio Emilia,2646,2617,1018,3749,328,5263,11231,12526,8116,6134,16963,23757,2122,2517,4639
2017/2018,2018,03701,Bologna,6137,7601,5170,7914,1261,13738,35396,44113,22658,36804,42704,79509,7926,10313,18239
2017/2018,2018,03801,Ferrara,2096,3657,3566,1957,304,5753,7847,10553,6973,10895,7411,18400,1279,1800,3079
2017/2018,2018,04101,Carlo Bo,1051,1702,1160,1364,158,2753,5413,8709,3959,6552,6668,14122,972,1653,2625
2017/2018,2018,04201,Marche,1519,1166,518,1995,117,2685,8345,6857,4184,3486,11151,15202,1557,1487,3044
2017/2018,2018,04301,Macerata,428,1259,258,1288,61,1687,2771,7271,3055,1867,7366,10042,461,1473,1934
2017/2018,2018,04302,Camerino,587,546,198,706,117,1133,3386,3398,1870,1892,3689,6784,454,498,952
2017/2018,2018,04801,Firenze,3886,5043,1492,7237,683,8929,21374,30305,13982,11432,40233,51679,3501,5404,8905
2017/2018,2018,04804,IUL,4,27,NA,NA,1,31,65,160,95,NA,NA,225,9,35,44
2017/2018,2018,05001,Pisa,3579,3519,1622,5140,350,7098,21638,22668,11199,13366,29831,44306,3500,3898,7398
2017/2018,2018,05201,Siena,1005,1478,842,1324,240,2483,6591,9148,4217,6904,7545,15739,1174,1761,2935
2017/2018,2018,05202,Siena Stranieri,114,469,159,268,83,583,401,1668,708,708,1083,2069,68,323,391
2017/2018,2018,05401,Perugia,1772,2329,964,2842,264,4101,9879,13105,6615,7252,14871,22984,1740,2568,4308
2017/2018,2018,05403,Perugia Stranieri,45,74,10,86,39,119,321,614,371,155,538,935,72,140,212
2017/2018,2018,05601,Tuscia,830,777,210,1225,55,1607,4147,3952,2365,1290,6114,8099,804,802,1606
2017/2018,2018,05801,La Sapienza,6944,9272,2044,13832,1036,16216,43040,57351,27596,17874,80654,100391,7307,10598,17905
2017/2018,2018,05802,Tor Vergata,2254,2499,434,4088,431,4753,13791,14704,8502,4791,22378,28495,2863,3084,5947
2017/2018,2018,05803,Roma LUMSA,287,560,221,465,34,847,1746,3896,1521,2200,3012,5642,374,1020,1394
2017/2018,2018,05805,Roma LUISS,901,761,568,868,17,1662,4901,4143,2928,4003,4361,9044,1406,1206,2612
2017/2018,2018,05806,Roma Foro Italico,268,73,NA,279,5,341,1602,572,682,NA,1775,2174,340,153,493
2017/2018,2018,05807,Roma Tre,2457,3290,357,5109,320,5747,13085,18866,9084,3075,27636,31951,2394,3538,5932
2017/2018,2018,05808,Campus Biomedico,105,205,NA,186,2,310,693,1088,532,NA,985,1781,171,269,440
2017/2018,2018,05809,Roma UNINT,17,113,NA,92,5,130,298,1005,535,NA,805,1303,92,435,527
2017/2018,2018,05810,Roma Marconi,389,364,295,133,29,753,4758,4407,3242,5536,2178,9165,803,777,1580
2017/2018,2018,05811,Unitelma,106,99,35,62,6,205,853,787,680,241,654,1640,200,165,365
2017/2018,2018,05812,Roma Europea,74,138,NA,160,6,212,337,667,366,NA,812,1004,82,91,173
2017/2018,2018,05813,Uninettuno,468,342,356,134,67,810,6982,4534,1992,7108,2896,11516,312,221,533
2017/2018,2018,05814,Mercatorum,4,NA,NA,NA,NA,NA,1543,394,969,NA,NA,1937,55,25,80
2017/2018,2018,05815,Unicusano,1496,817,1506,548,47,2313,12960,8720,7516,16517,4712,21680,2113,1476,3589
2017/2018,2018,05816,Roma San Raffaele,354,176,131,124,8,530,2398,1837,1947,1857,983,4235,302,283,585
2017/2018,2018,05817,Link Campus,260,61,44,85,12,321,1352,525,400,527,682,1877,302,148,450
2017/2018,2018,06001,Cassino,550,582,313,787,53,1132,3346,3885,2042,2058,5052,7231,596,840,1436
2017/2018,2018,06201,Sannio,438,424,20,807,14,862,2349,2490,1157,82,4607,4839,393,509,902
2017/2018,2018,06202,Benevento - Giustino Fortunato,46,12,NA,NA,NA,58,538,278,416,NA,NA,816,178,106,284
2017/2018,2018,06301,Napoli Federico II,5823,6750,370,12047,92,12573,33787,41473,19248,2782,71778,75260,5865,7458,13323
2017/2018,2018,06302,Napoli Parthenope,1136,721,11,1772,16,1857,6861,5220,2829,60,11609,12081,1194,1011,2205
2017/2018,2018,06303,Napoli L'Orientale,430,1610,136,1770,105,2040,2377,8843,3078,1022,9652,11220,370,1500,1870
2017/2018,2018,06304,Benincasa,207,1167,10,1327,9,1374,1206,7025,2429,79,7845,8231,213,1542,1755
2017/2018,2018,06306,Napoli II,1494,1813,52,3129,80,3307,10407,14345,5624,119,23531,24752,1827,2616,4443
2017/2018,2018,06307,Napoli Pegaso,2402,862,2001,1029,10,3264,18116,11718,15978,18426,10787,29834,3854,2671,6525
2017/2018,2018,06501,Salerno,2761,3030,190,5528,64,5791,15363,20225,8402,1580,33541,35588,2307,3117,5424
2017/2018,2018,06601,Aquila,913,929,463,1212,54,1842,7088,9123,3778,5134,9395,16211,1231,1828,3059
2017/2018,2018,06701,Teramo,417,513,88,676,14,930,2506,3352,1416,980,4261,5858,402,575,977
2017/2018,2018,06901,Chieti e Pescara,1466,2466,1485,2240,118,3932,8800,15401,6286,10172,13363,24201,1595,3193,4788
2017/2018,2018,06902,Torrevecchia Teatina,2,NA,NA,NA,NA,NA,45,54,15,NA,NA,99,4,9,13
2017/2018,2018,07001,Molise,463,594,369,599,21,1057,2797,4097,1678,3017,3702,6894,412,604,1016
2017/2018,2018,07101,Foggia,817,1257,110,1863,28,2074,3860,6334,3007,693,9305,10194,645,1034,1679
2017/2018,2018,07201,Bari,2887,4339,361,6724,150,7226,16224,27024,10464,2648,39845,43248,2808,4761,7569
2017/2018,2018,07202,Bari Politecnico,1241,529,66,1684,24,1770,6712,3045,2516,399,9244,9757,1272,644,1916
2017/2018,2018,07203,Jean Monnet,154,94,NA,230,1,248,948,601,380,NA,1450,1549,209,128,337
2017/2018,2018,07501,Salento,1275,1895,25,3109,42,3170,6214,10412,4806,221,16189,16626,1072,2067,3139
2017/2018,2018,07601,Basilicata,479,495,186,741,12,974,2809,3763,1369,1545,4956,6572,376,574,950
2017/2018,2018,07801,Calabria,1802,2148,242,3670,159,3950,10938,15051,5907,1071,24539,25989,1663,2536,4199
2017/2018,2018,07901,Catanzaro,745,1098,NA,1737,47,1843,4105,6296,2536,NA,9594,10401,568,880,1448
2017/2018,2018,08001,Reggio Calabria,369,263,24,585,13,632,2643,2628,1025,382,4820,5271,439,444,883
2017/2018,2018,08003,Reggio Calabria - Dante Alighieri,33,85,36,72,37,118,151,709,254,109,680,860,35,174,209
2017/2018,2018,08201,Palermo,3005,3792,25,6730,72,6797,16510,22801,10551,156,38866,39311,2737,4347,7084
2017/2018,2018,08301,Messina,1530,2428,897,3031,78,3958,8604,14334,5859,5416,17247,22938,1334,2572,3906
2017/2018,2018,08601,Enna,292,463,NA,745,7,755,1855,3326,1122,NA,5127,5181,428,712,1140
2017/2018,2018,08701,Catania,2846,3322,13,6090,40,6168,17651,24420,8831,107,41691,42071,2493,3701,6194
2017/2018,2018,09001,Sassari,842,1355,NA,2119,43,2197,4790,8328,3641,NA,12600,13118,752,1405,2157
2017/2018,2018,09201,Cagliari,1649,1949,NA,3554,40,3598,10387,14777,5665,NA,24788,25164,1623,2428,4051
2016/2017,2017,00101,Torino,4862,7638,1743,10441,843,12500,26606,41807,20072,11765,55255,68413,4744,7801,12545
2016/2017,2017,00102,Torino Politecnico,3685,1325,2411,2385,614,5010,22264,8742,9853,16006,14648,31006,4609,2075,6684
2016/2017,2017,00201,Piemonte Orientale,1306,2223,1171,2063,202,3529,4591,7152,4068,3089,8389,11743,659,1167,1826
2016/2017,2017,00401,Scienze Gastronomiche,42,33,23,19,29,75,166,153,101,66,113,319,52,53,105
2016/2017,2017,00701,Aosta,60,149,41,119,15,209,289,770,294,248,669,1059,70,187,257
2016/2017,2017,01001,Genova,2482,2976,518,4665,448,5458,14253,17227,8535,4600,25959,31480,2461,3309,5770
2016/2017,2017,01201,LIUC,222,121,28,227,9,343,1311,729,745,159,1274,2040,371,222,593
2016/2017,2017,01202,Insubria,1064,1186,86,2064,124,2250,4274,5058,2818,440,8572,9332,650,978,1628
2016/2017,2017,01301,Novedrate,532,531,562,191,80,1063,4579,4512,2709,6854,1646,9091,818,860,1678
2016/2017,2017,01501,Milano,4522,6689,1577,9302,670,11211,24797,34900,16793,10434,49061,59697,4323,7115,11438
