anno_acc,anno_sol,id_ateneo,ateneo_breve,imm_maschi,imm_femmine,imm_fs,imm_nfs,imm_totali_s,imm_totali,isc_maschi,isc_femmine,isc_1anno,isc_fs,isc_nfs,isc_totali,lau_maschi,lau_femmine,lau_totali
2016/2017,2017,01502,Milano Politecnico,5185,2335,2153,4993,354,7520,28401,14037,14151,16274,25889,42438,6999,4038,11037
2016/2017,2017,01503,Milano Bocconi,1577,1196,1722,851,482,2773,7149,6121,4712,9269,3984,13270,2323,2184,4507
2016/2017,2017,01504,Milano Cattolica,2711,4988,2473,4672,557,7699,13238,23894,11951,15207,21738,37132,3402,6573,9975
2016/2017,2017,01505,IULM,367,977,217,796,54,1344,1502,3714,1959,1477,2957,5216,307,954,1261
2016/2017,2017,01508,Milano San Raffaele,170,268,29,198,20,438,996,1466,711,269,1231,2462,195,334,529
2016/2017,2017,01509,Milano Bicocca,2403,3470,392,5105,349,5873,12700,20022,9557,3619,27832,32722,2411,4286,6697
2016/2017,2017,01510,Humanitas University,81,96,71,51,81,177,209,312,200,101,283,521,3,13,16
2016/2017,2017,01601,Bergamo,1389,2265,27,3532,214,3654,6374,10428,5378,241,15838,16802,1048,2111,3159
2016/2017,2017,01701,Brescia,1501,1165,100,2455,183,2666,7511,6377,3670,544,12964,13888,1361,1272,2633
2016/2017,2017,01801,Pavia,1967,2425,1229,2900,310,4392,9537,11827,6465,6555,13867,21364,1894,2527,4421
2016/2017,2017,02101,Bolzano,176,487,229,342,78,663,1046,2247,890,1094,1872,3293,179,432,611
2016/2017,2017,02201,Trento,1433,1486,1580,1081,72,2919,8015,8139,4408,9039,6033,16154,1689,1838,3527
2016/2017,2017,02301,Verona,1599,3114,1442,3051,218,4713,8336,14775,7154,6928,15611,23111,1609,3203,4812
2016/2017,2017,02701,Ca Foscari,1275,2415,557,2786,201,3690,6970,12849,6266,3689,14512,19819,1530,3199,4729
2016/2017,2017,02702,IUAV,259,381,73,464,40,640,1985,2154,1333,486,2877,4139,592,703,1295
2016/2017,2017,02801,Padova,5376,5874,1439,9411,489,11250,26990,30860,17004,10221,46449,57850,5485,7216,12701
2016/2017,2017,03001,Udine,1494,1591,689,2242,198,3085,7263,7763,4552,3629,10864,15026,1248,1579,2827
2016/2017,2017,03201,Trieste,1153,1414,659,1597,204,2567,6574,8259,3949,4495,9149,14833,1178,1684,2862
2016/2017,2017,03401,Parma,2100,2644,1964,2499,329,4744,10492,13394,7252,10835,12548,23886,1975,2608,4583
2016/2017,2017,03601,Modena e Reggio Emilia,2246,2585,763,3583,285,4831,10426,11729,7368,5281,16279,22155,1780,2446,4226
2016/2017,2017,03701,Bologna,6334,7912,5309,8246,1086,14246,34990,43527,22999,35626,42890,78517,7589,10272,17861
2016/2017,2017,03801,Ferrara,1192,1570,1257,1266,179,2762,6961,8599,4059,8233,6688,15560,1283,1692,2975
2016/2017,2017,04101,Carlo Bo,1009,1671,1251,1208,159,2680,5364,8562,3884,6820,6476,13926,930,1640,2570
2016/2017,2017,04201,Marche,1477,1302,641,1976,119,2779,8329,6986,4129,3569,11286,15315,1551,1432,2983
2016/2017,2017,04301,Macerata,498,1330,437,1276,61,1828,2892,7289,3192,1858,7513,10181,480,1495,1975
2016/2017,2017,04302,Camerino,584,577,208,702,97,1161,3475,3468,1779,2104,3699,6943,497,523,1020
2016/2017,2017,04801,Firenze,3784,5067,1276,7296,661,8851,20975,30021,14033,10288,40391,50996,3293,4980,8273
2016/2017,2017,04804,IUL,10,28,13,NA,1,38,47,149,112,70,NA,196,NA,26,NA
2016/2017,2017,05001,Pisa,3937,3675,2092,5208,373,7612,21975,23239,12160,14014,30287,45214,3395,3678,7073
2016/2017,2017,05201,Siena,992,1409,925,1225,232,2401,6509,8954,4012,7004,7471,15463,1163,1622,2785
2016/2017,2017,05202,Siena Stranieri,111,469,147,296,63,580,349,1534,719,671,1035,1883,46,265,311
2016/2017,2017,05401,Perugia,2174,3034,1880,3057,260,5208,9919,13029,7587,7685,14795,22948,1759,2407,4166
2016/2017,2017,05403,Perugia Stranieri,41,75,12,83,52,116,330,551,313,182,486,881,79,138,217
2016/2017,2017,05601,Tuscia,832,804,221,1258,43,1636,4104,3904,2491,1576,6024,8008,744,594,1338
2016/2017,2017,05801,La Sapienza,7178,9499,2205,14142,1010,16677,42921,57565,27118,19356,79631,100486,7448,11025,18473
2016/2017,2017,05802,Tor Vergata,2464,2514,525,4239,399,4978,14419,15119,9326,5288,22669,29538,2888,3039,5927
2016/2017,2017,05803,Roma LUMSA,234,478,203,376,39,712,1767,3849,1298,1696,2919,5616,362,952,1314
2016/2017,2017,05805,Roma LUISS,886,752,575,813,22,1638,4685,3984,2918,4026,4108,8669,1279,1115,2394
2016/2017,2017,05806,Roma Foro Italico,271,77,NA,288,8,348,1611,582,655,NA,1780,2193,343,167,510
2016/2017,2017,05807,Roma Tre,2321,3065,256,4798,308,5386,13344,19071,8515,3205,27984,32415,2441,3887,6328
2016/2017,2017,05808,Campus Biomedico,100,176,NA,160,3,276,678,1005,491,NA,894,1683,148,258,406
2016/2017,2017,05809,Roma UNINT,32,94,NA,88,5,126,324,1028,438,NA,807,1352,89,353,442
2016/2017,2017,05810,Roma Marconi,376,391,290,181,31,767,5121,4317,3194,5732,2221,9438,765,694,1459
2016/2017,2017,05811,Unitelma,99,59,21,54,7,158,817,676,523,202,574,1493,176,134,310
2016/2017,2017,05812,Roma Europea,68,107,NA,133,7,175,314,526,297,NA,687,840,71,145,216
2016/2017,2017,05813,Uninettuno,386,260,245,111,42,646,6454,4066,1663,5287,2760,10520,301,189,490
2016/2017,2017,05814,Mercatorum,76,39,NA,26,4,115,505,221,458,NA,155,726,38,24,62
2016/2017,2017,05815,Unicusano,1439,778,1415,516,41,2217,12384,8223,7482,15775,4388,20607,1838,1435,3273
2016/2017,2017,05816,Roma San Raffaele,293,174,99,114,12,467,1743,1311,1500,1210,746,3054,192,140,332
2016/2017,2017,05817,Link Campus,203,72,81,86,6,275,1238,550,445,516,706,1788,295,149,444
2016/2017,2017,06001,Cassino,577,587,302,830,24,1164,3495,4099,1974,1983,5345,7594,558,722,1280
2016/2017,2017,06201,Sannio,431,445,24,832,9,876,2497,2671,1185,171,4923,5168,398,465,863
2016/2017,2017,06202,Benevento - Giustino Fortunato,41,19,NA,12,NA,60,497,283,390,NA,441,780,148,92,240
2016/2017,2017,06301,Napoli Federico II,5797,6439,357,11734,108,12236,34356,42457,18665,2765,73354,76813,5650,7345,12995
2016/2017,2017,06302,Napoli Parthenope,1274,815,NA,2012,19,2089,7344,5625,3150,NA,12448,12969,1273,1024,2297
2016/2017,2017,06303,Napoli L'Orientale,429,1720,154,1870,92,2149,2376,8575,3120,1049,9433,10951,346,1563,1909
2016/2017,2017,06304,Benincasa,223,1141,NA,1317,17,1364,1174,6980,2276,NA,7776,8154,227,1548,1775
2016/2017,2017,06306,Napoli II,1591,1970,51,3406,51,3561,10608,14799,5981,312,24331,25407,1863,2848,4711
2016/2017,2017,06307,Napoli Pegaso,2187,1061,2018,975,13,3248,12879,7353,10601,11595,8037,20232,2497,1651,4148
2016/2017,2017,06501,Salerno,2916,3132,225,5768,60,6048,14932,20427,8564,1600,33326,35359,2029,3231,5260
2016/2017,2017,06601,Aquila,938,967,518,1244,58,1905,7429,9612,3904,6055,9729,17041,1449,2023,3472
2016/2017,2017,06701,Teramo,432,595,151,730,20,1027,2566,3537,1515,1122,4469,6103,420,602,1022
2016/2017,2017,06901,Chieti e Pescara,1569,2626,1665,2344,104,4195,9069,15874,6494,10750,13652,24943,1582,3395,4977
2016/2017,2017,06902,Torrevecchia Teatina,1,6,NA,NA,NA,7,68,85,30,NA,NA,153,13,16,29
2016/2017,2017,07001,Molise,444,604,410,566,10,1048,2851,4084,1803,2946,3722,6935,422,636,1058
2016/2017,2017,07101,Foggia,846,1218,76,1930,21,2064,3761,6014,3019,605,9000,9775,565,1005,1570
2016/2017,2017,07201,Bari,2917,4320,318,6786,134,7237,16685,27661,10228,2758,40856,44346,2643,4912,7555
2016/2017,2017,07202,Bari Politecnico,1220,525,86,1637,19,1745,6645,3004,2414,385,9151,9649,1292,664,1956
2016/2017,2017,07203,Jean Monnet,124,63,NA,162,NA,187,847,519,330,NA,1265,1366,161,104,265
2016/2017,2017,07501,Salento,1161,1805,34,2888,39,2966,6125,10455,4332,247,16088,16580,1027,2097,3124
2016/2017,2017,07601,Basilicata,476,486,172,753,10,962,2870,3829,1367,1387,5136,6699,378,514,892
2016/2017,2017,07801,Calabria,1798,2209,215,3751,106,4007,10983,15488,5736,1029,25215,26471,1792,2690,4482
2016/2017,2017,07901,Catanzaro,644,941,13,1510,22,1585,4068,6220,2335,284,9568,10288,606,951,1557
2016/2017,2017,08001,Reggio Calabria,410,313,27,673,17,723,2904,2943,1157,440,5331,5847,487,441,928
2016/2017,2017,08003,Reggio Calabria - Dante Alighieri,41,140,79,90,89,181,158,795,349,94,770,953,41,178,219
2016/2017,2017,08201,Palermo,3026,3844,14,6795,70,6870,16619,23208,10154,121,39400,39827,2837,4437,7274
2016/2017,2017,08301,Messina,1442,2088,753,2737,45,3530,8510,14348,5594,5419,17121,22858,1264,2424,3688
2016/2017,2017,08601,Enna,305,501,NA,803,6,806,2016,3498,1223,NA,5457,5514,400,751,1151
2016/2017,2017,08701,Catania,2890,3540,NA,6347,55,6430,17914,25506,9101,NA,43017,43420,2532,3905,6437
2016/2017,2017,09001,Sassari,806,1271,NA,2011,41,2077,4717,8164,3521,NA,12390,12881,725,1328,2053
2016/2017,2017,09201,Cagliari,1652,2101,NA,3719,39,3753,10605,15376,5855,NA,25601,25981,1555,2457,4012
2015/2016,2016,00101,Torino,4494,6955,1433,9617,827,11449,25622,40719,18262,10147,54445,66341,4686,7702,12388
2015/2016,2016,00102,Torino Politecnico,3991,1482,2527,2755,612,5473,21811,8689,10103,15236,14858,30500,4470,1954,6424
2015/2016,2016,00201,Piemonte Orientale,1047,1744,608,1887,168,2791,4208,6559,3492,2281,8075,10767,657,1117,1774
2015/2016,2016,00401,Scienze Gastronomiche,35,32,20,NA,23,67,155,167,115,61,NA,322,26,52,78
2015/2016,2016,00701,Aosta,72,146,62,115,9,218,314,804,259,260,723,1118,44,145,189
2015/2016,2016,01001,Genova,2565,2925,483,4718,511,5490,14187,17179,8749,4615,25854,31366,2572,3392,5964
2015/2016,2016,01201,LIUC,242,110,21,208,5,352,1259,692,725,140,1200,1951,397,223,620
2015/2016,2016,01202,Insubria,918,1064,62,1806,110,1982,3998,4878,2592,387,8170,8876,626,868,1494
2015/2016,2016,01301,Novedrate,458,473,481,161,75,931,4013,3850,2204,5421,1539,7863,421,478,899
2015/2016,2016,01501,Milano,4802,7051,1660,9874,814,11853,24899,35501,17214,10190,49919,60400,4446,7032,11478
2015/2016,2016,01502,Milano Politecnico,5194,2341,2285,4889,427,7535,27370,13412,13687,14905,25702,40782,6675,3820,10495
2015/2016,2016,01503,Milano Bocconi,1484,1160,1572,843,325,2644,6960,6285,4616,9256,3970,13245,2359,2263,4622
2015/2016,2016,01504,Milano Cattolica,2649,4698,2337,4484,426,7347,13097,23393,11355,14865,21607,36490,3200,6136,9336
2015/2016,2016,01505,IULM,349,911,232,743,51,1260,1351,3313,1777,1656,2644,4664,325,785,1110
2015/2016,2016,01508,Milano San Raffaele,199,226,55,181,25,425,950,1375,748,519,1172,2325,167,327,494
2015/2016,2016,01509,Milano Bicocca,2228,3231,403,4695,343,5459,12393,19693,9010,3618,27384,32086,2415,4264,6679
2015/2016,2016,01510,Humanitas University,67,82,62,45,75,149,130,214,198,56,190,344,3,4,7
2015/2016,2016,01601,Bergamo,1275,2415,10,3568,200,3690,5802,9836,4924,103,14846,15638,1049,1956,3005
2015/2016,2016,01701,Brescia,1331,1155,43,2341,162,2486,7460,6507,3370,455,13086,13967,1277,1231,2508
2015/2016,2016,01801,Pavia,1753,2275,1096,2707,320,4028,9375,11697,6141,6632,13787,21072,1878,2479,4357
2015/2016,2016,02101,Bolzano,180,417,197,327,70,597,956,2072,826,1001,1738,3028,159,365,524
2015/2016,2016,02201,Trento,1405,1508,1638,1019,74,2913,7968,8266,4432,8742,6269,16234,1773,1803,3576
2015/2016,2016,02301,Verona,1587,3041,1385,3061,246,4628,8084,14593,6951,6633,15553,22677,1433,2932,4365
2015/2016,2016,02701,Ca Foscari,1380,2641,588,3135,213,4021,6955,12813,6568,4368,14756,19768,1555,3230,4785
2015/2016,2016,02702,IUAV,278,351,78,468,31,629,2079,2181,1293,467,3013,4260,632,682,1314
2015/2016,2016,02801,Padova,5070,5675,1335,8959,456,10745,26930,31559,16075,10911,47262,58489,5366,6967,12333
2015/2016,2016,03001,Udine,1502,1543,666,2241,204,3045,7207,7665,4277,3652,10834,14872,1398,1625,3023
2015/2016,2016,03201,Trieste,1081,1456,633,1603,197,2537,6577,8486,3847,4222,9427,15063,1270,1863,3133
2015/2016,2016,03401,Parma,1769,2310,1499,2311,307,4079,10150,12911,6196,10017,12398,23061,1945,2590,4535
2015/2016,2016,03601,Modena e Reggio Emilia,2128,2224,517,3385,316,4352,9809,11014,6835,4235,15745,20823,1779,2264,4043
2015/2016,2016,03701,Bologna,6129,7694,5183,7992,822,13823,34549,43257,22044,34156,43609,77806,7099,9997,17096
2015/2016,2016,03801,Ferrara,1315,1482,1210,1328,173,2797,7062,8456,3996,8366,6649,15518,1222,1643,2865
2015/2016,2016,04101,Carlo Bo,1058,1694,1271,1273,164,2752,5374,8482,3703,6817,6553,13856,871,1649,2520
2015/2016,2016,04201,Marche,1528,1368,715,2041,111,2896,8554,7068,4274,3614,11686,15622,1557,1404,2961
2015/2016,2016,04301,Macerata,501,1332,376,1324,79,1833,2852,7129,3072,1622,7592,9981,444,1306,1750
2015/2016,2016,04302,Camerino,425,517,168,526,82,942,3124,3343,1502,2258,3403,6467,513,548,1061
2015/2016,2016,04801,Firenze,3459,4975,1340,6866,639,8434,20648,29630,13309,9884,40111,50278,3262,4986,8248
2015/2016,2016,04804,IUL,9,31,13,NA,8,40,18,91,76,31,NA,109,3,5,8
2015/2016,2016,05001,Pisa,3590,3679,2043,4938,307,7269,21831,23211,11585,14553,30331,45042,3347,3620,6967
2015/2016,2016,05201,Siena,918,1298,792,1152,159,2216,6508,8957,3727,6451,7686,15465,1153,1754,2907
2015/2016,2016,05202,Siena Stranieri,96,424,111,290,66,520,318,1316,633,410,912,1634,41,257,298
2015/2016,2016,05401,Perugia,1651,2005,739,2588,230,3656,9495,12033,5805,6426,14437,21528,1842,2617,4459
2015/2016,2016,05403,Perugia Stranieri,57,57,15,80,48,114,365,527,277,228,455,892,69,156,225
2015/2016,2016,05601,Tuscia,868,852,288,1248,57,1720,3969,3863,2573,1538,5862,7832,640,602,1242
2015/2016,2016,05801,La Sapienza,6610,8580,2240,12520,860,15190,42362,57496,25009,21187,77631,99858,7348,10853,18201
2015/2016,2016,05802,Tor Vergata,2577,2557,590,4340,362,5134,14453,15216,8924,6107,22707,29669,3002,3023,6025
2015/2016,2016,05803,Roma LUMSA,221,588,255,431,53,809,1817,4066,1470,2098,3076,5883,357,927,1284
2015/2016,2016,05805,Roma LUISS,821,735,522,818,24,1556,4256,3860,2690,3624,3838,8116,1175,1156,2331
2015/2016,2016,05806,Roma Foro Italico,250,98,NA,309,4,348,1612,617,644,NA,1807,2229,326,181,507
2015/2016,2016,05807,Roma Tre,2371,3190,367,5002,299,5561,13802,20140,8877,3607,29104,33942,2448,3751,6199
2015/2016,2016,05808,Campus Biomedico,130,193,20,170,2,323,665,1015,462,185,865,1680,148,296,444
2015/2016,2016,05809,Roma UNINT,61,174,11,153,11,235,347,1057,593,138,821,1404,85,305,390
2015/2016,2016,05810,Roma Marconi,412,355,331,153,20,767,5400,4129,3046,6269,2161,9529,914,708,1622
2015/2016,2016,05811,Unitelma,57,51,NA,29,5,108,813,676,462,NA,598,1489,191,154,345
2015/2016,2016,05812,Roma Europea,43,70,NA,91,3,113,300,461,223,NA,625,761,56,129,185
2015/2016,2016,05813,Uninettuno,321,238,187,100,26,559,6076,3744,1566,5345,2631,9820,320,250,570
2015/2016,2016,05814,Mercatorum,25,23,NA,NA,NA,48,171,112,144,NA,NA,283,1,1,2
2015/2016,2016,05815,Unicusano,1150,622,1076,434,44,1772,10365,6897,6489,12860,3671,17262,1489,1030,2519
2015/2016,2016,05816,Roma San Raffaele,225,125,63,94,9,350,1207,836,954,641,535,2043,134,98,232
2015/2016,2016,05817,Link Campus,243,90,77,120,5,333,1200,549,471,497,715,1749,190,89,279
2015/2016,2016,06001,Cassino,563,623,279,874,28,1186,3555,4270,2096,2034,5552,7825,558,855,1413
2015/2016,2016,06201,Sannio,490,428,34,855,3,918,2678,2812,1300,183,5218,5490,434,469,903
2015/2016,2016,06202,Benevento - Giustino Fortunato,30,10,NA,NA,NA,40,465,280,340,NA,NA,745,121,77,198
2015/2016,2016,06301,Napoli Federico II,5567,6361,343,11461,81,11928,34570,43388,18423,2727,74503,77958,5474,7374,12848
2015/2016,2016,06302,Napoli Parthenope,1228,886,NA,2054,21,2114,7690,6122,3204,NA,13280,13812,1106,1089,2195
2015/2016,2016,06303,Napoli L'Orientale,433,1666,159,1800,91,2099,2368,8312,3008,946,9236,10680,330,1352,1682
2015/2016,2016,06304,Benincasa,181,1038,NA,1170,14,1219,1159,6952,2089,NA,7768,8111,210,1335,1545
2015/2016,2016,06306,Napoli II,1554,1863,21,3248,40,3417,10839,15089,5815,300,24940,25928,1888,2844,4732
2015/2016,2016,06307,Napoli Pegaso,1256,384,853,590,8,1640,8299,4960,8093,6565,5903,13259,1973,1166,3139
2015/2016,2016,06501,Salerno,2539,3046,156,5351,55,5585,14291,20691,7911,1556,32898,34982,1884,3077,4961
2015/2016,2016,06601,Aquila,886,920,496,1198,34,1806,7739,10387,3698,6536,10204,18126,1484,2274,3758
2015/2016,2016,06701,Teramo,394,561,109,749,18,955,2577,3619,1480,1132,4616,6196,424,544,968
2015/2016,2016,06901,Chieti e Pescara,1336,2355,1435,2059,114,3691,9237,16520,5926,11031,14003,25757,1601,3606,5207
2015/2016,2016,07001,Molise,416,572,379,523,17,988,2858,4095,1586,2912,3786,6953,421,665,1086
2015/2016,2016,07101,Foggia,668,793,57,1353,25,1461,3522,5747,2207,596,8522,9269,539,998,1537
2015/2016,2016,07201,Bari,2995,4348,337,6873,106,7343,17305,29163,10526,2918,42804,46468,2666,4880,7546
2015/2016,2016,07202,Bari Politecnico,1056,448,29,1456,13,1504,6741,3052,2017,349,9322,9793,1347,712,2059
2015/2016,2016,07203,Jean Monnet,98,53,NA,130,NA,151,773,464,262,NA,1144,1237,164,102,266
2015/2016,2016,07501,Salento,1143,1739,41,2809,28,2882,6291,10690,4408,274,16466,16981,1081,2236,3317
2015/2016,2016,07601,Basilicata,473,467,182,731,9,940,2971,3953,1369,1516,5332,6924,374,482,856
2015/2016,2016,07801,Calabria,1757,2314,187,3854,69,4071,11141,16034,5895,804,26134,27175,1655,2757,4412
2015/2016,2016,07901,Catanzaro,662,770,NA,1371,16,1432,4149,6158,2008,NA,9654,10307,468,797,1265
2015/2016,2016,08001,Reggio Calabria,418,293,42,646,8,711,3100,3167,1128,478,5706,6267,536,437,973
2015/2016,2016,08003,Reggio Calabria - Dante Alighieri,15,103,NA,105,13,118,161,801,321,NA,886,962,31,185,216
2015/2016,2016,08201,Palermo,2805,3519,26,6200,58,6324,16561,23618,9490,144,39695,40179,2865,4704,7569
2015/2016,2016,08301,Messina,1227,1898,671,2402,30,3125,8762,14915,4838,5727,17624,23677,1473,2894,4367
2015/2016,2016,08601,Enna,348,536,NA,877,7,884,2226,3563,1351,NA,5727,5789,395,699,1094
2015/2016,2016,08701,Catania,2845,3636,NA,6397,46,6481,18254,26883,9066,NA,44689,45137,2468,3984,6452
2015/2016,2016,09001,Sassari,677,1062,NA,1669,31,1739,4567,7891,3120,NA,12012,12458,673,1294,1967
2015/2016,2016,09201,Cagliari,1762,2212,11,3929,41,3974,10653,15580,6036,105,25859,26233,1493,2436,3929
2014/2015,2015,00101,Torino,4283,6731,1338,9425,697,11014,25312,40729,18010,9446,55088,66041,4401,7390,11791
2014/2015,2015,00102,Torino Politecnico,3828,1542,2462,2698,685,5370,21193,8433,9568,14188,15021,29626,4490,1937,6427
2014/2015,2015,00201,Piemonte Orientale,867,1435,385,1754,153,2302,4067,6332,3123,1932,8088,10399,635,1126,1761
2014/2015,2015,00401,Scienze Gastronomiche,29,36,22,NA,30,65,131,164,113,56,NA,295,32,39,71
2014/2015,2015,00701,Aosta,55,163,46,129,17,218,316,836,321,254,770,1152,46,138,184
2014/2015,2015,01001,Genova,2564,2964,549,4668,478,5528,14465,17776,9079,4715,26472,32241,2510,3403,5913
2014/2015,2015,01201,LIUC,171,106,10,177,7,277,1143,674,633,117,1167,1817,319,216,535
2014/2015,2015,01202,Insubria,976,1287,76,2064,131,2263,3895,4971,2727,423,8130,8866,662,904,1566
2014/2015,2015,01301,Novedrate,513,506,523,184,80,1019,3977,3687,2800,5268,1523,7664,406,508,914
2014/2015,2015,01501,Milano,4669,6769,1557,9562,756,11438,25082,35596,17656,9645,50388,60678,4228,6642,10870
2014/2015,2015,01502,Milano Politecnico,4944,2326,2140,4732,400,7270,26744,13335,13150,13796,26149,40079,6540,3829,10369
2014/2015,2015,01503,Milano Bocconi,1232,1173,1478,740,215,2405,6880,6449,4388,9385,3881,13329,2235,2148,4383
2014/2015,2015,01504,Milano Cattolica,2529,4516,2108,4430,403,7045,13023,23401,11017,14135,21966,36424,3066,6136,9202
2014/2015,2015,01505,IULM,280,807,155,623,55,1087,1269,3049,1582,1279,2458,4318,313,822,1135
2014/2015,2015,01508,Milano San Raffaele,129,248,43,140,28,377,866,1259,697,217,1116,2125,160,284,444
2014/2015,2015,01509,Milano Bicocca,2356,3389,506,4889,366,5745,12329,19824,9171,3738,27566,32153,2245,4232,6477
2014/2015,2015,01601,Bergamo,1209,2196,15,3292,224,3405,5537,9323,4663,104,14198,14860,1032,1840,2872
2014/2015,2015,01701,Brescia,1407,1184,69,2422,180,2591,7494,6651,3903,441,13256,14145,1241,1238,2479
2014/2015,2015,01801,Pavia,1697,2114,1052,2554,292,3811,9459,11812,6025,6527,13990,21271,1953,2632,4585
2014/2015,2015,02101,Bolzano,197,401,185,340,89,598,899,1859,806,989,1586,2758,161,292,453
2014/2015,2015,02201,Trento,1489,1544,1651,1162,107,3033,8171,8383,4879,9129,6774,16554,1662,1864,3526
2014/2015,2015,02301,Verona,1511,2880,1265,2955,261,4391,7833,14197,6546,6441,15268,22030,1432,2989,4421
2014/2015,2015,02701,Ca Foscari,1244,2356,540,2751,198,3600,6789,12393,5751,3981,14574,19182,1472,3164,4636
2014/2015,2015,02702,IUAV,329,425,69,553,32,754,2240,2272,1376,508,3190,4512,684,740,1424
